sport,sport_key,game_id,game_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,market_last_update,team,price,point,query_time
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,fanduel,FanDuel,2025-10-13T21:26:37Z,h2h,2025-10-13T21:26:37Z,Liberty Flames,-375,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,fanduel,FanDuel,2025-10-13T21:26:37Z,h2h,2025-10-13T21:26:37Z,New Mexico State Aggies,300,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,fanduel,FanDuel,2025-10-13T21:26:37Z,spreads,2025-10-13T21:26:37Z,Liberty Flames,-115,-9.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,fanduel,FanDuel,2025-10-13T21:26:37Z,spreads,2025-10-13T21:26:37Z,New Mexico State Aggies,-105,9.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,fanduel,FanDuel,2025-10-13T21:26:37Z,totals,2025-10-13T21:26:37Z,Over,-110,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,fanduel,FanDuel,2025-10-13T21:26:37Z,totals,2025-10-13T21:26:37Z,Under,-110,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,mybookieag,MyBookie.ag,2025-10-13T21:26:05Z,h2h,2025-10-13T21:26:05Z,Liberty Flames,-441,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,mybookieag,MyBookie.ag,2025-10-13T21:26:05Z,h2h,2025-10-13T21:26:05Z,New Mexico State Aggies,320,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,mybookieag,MyBookie.ag,2025-10-13T21:26:05Z,spreads,2025-10-13T21:26:05Z,Liberty Flames,-110,-10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,mybookieag,MyBookie.ag,2025-10-13T21:26:05Z,spreads,2025-10-13T21:26:05Z,New Mexico State Aggies,-110,10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,mybookieag,MyBookie.ag,2025-10-13T21:26:05Z,totals,2025-10-13T21:26:05Z,Over,-110,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,mybookieag,MyBookie.ag,2025-10-13T21:26:05Z,totals,2025-10-13T21:26:05Z,Under,-110,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betrivers,BetRivers,2025-10-13T21:25:57Z,h2h,2025-10-13T21:25:56Z,Liberty Flames,-375,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betrivers,BetRivers,2025-10-13T21:25:57Z,h2h,2025-10-13T21:25:56Z,New Mexico State Aggies,280,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betrivers,BetRivers,2025-10-13T21:25:57Z,spreads,2025-10-13T21:25:56Z,Liberty Flames,-113,-10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betrivers,BetRivers,2025-10-13T21:25:57Z,spreads,2025-10-13T21:25:56Z,New Mexico State Aggies,-109,10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betrivers,BetRivers,2025-10-13T21:25:57Z,totals,2025-10-13T21:25:56Z,Over,-114,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betrivers,BetRivers,2025-10-13T21:25:57Z,totals,2025-10-13T21:25:56Z,Under,-109,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,draftkings,DraftKings,2025-10-13T21:26:15Z,h2h,2025-10-13T21:26:15Z,Liberty Flames,-355,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,draftkings,DraftKings,2025-10-13T21:26:15Z,h2h,2025-10-13T21:26:15Z,New Mexico State Aggies,280,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,draftkings,DraftKings,2025-10-13T21:26:15Z,spreads,2025-10-13T21:26:15Z,Liberty Flames,-108,-10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,draftkings,DraftKings,2025-10-13T21:26:15Z,spreads,2025-10-13T21:26:15Z,New Mexico State Aggies,-112,10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,draftkings,DraftKings,2025-10-13T21:26:15Z,totals,2025-10-13T21:26:15Z,Over,-110,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,draftkings,DraftKings,2025-10-13T21:26:15Z,totals,2025-10-13T21:26:15Z,Under,-110,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betmgm,BetMGM,2025-10-13T21:26:27Z,h2h,2025-10-13T21:26:26Z,Liberty Flames,-375,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betmgm,BetMGM,2025-10-13T21:26:27Z,h2h,2025-10-13T21:26:26Z,New Mexico State Aggies,300,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betmgm,BetMGM,2025-10-13T21:26:27Z,spreads,2025-10-13T21:26:26Z,Liberty Flames,-105,-10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betmgm,BetMGM,2025-10-13T21:26:27Z,spreads,2025-10-13T21:26:26Z,New Mexico State Aggies,-115,10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betonlineag,BetOnline.ag,2025-10-13T21:26:37Z,h2h,2025-10-13T21:26:37Z,Liberty Flames,-400,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betonlineag,BetOnline.ag,2025-10-13T21:26:37Z,h2h,2025-10-13T21:26:37Z,New Mexico State Aggies,316,,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betonlineag,BetOnline.ag,2025-10-13T21:26:37Z,spreads,2025-10-13T21:26:37Z,Liberty Flames,-104,-10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betonlineag,BetOnline.ag,2025-10-13T21:26:37Z,spreads,2025-10-13T21:26:37Z,New Mexico State Aggies,-116,10.0,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betonlineag,BetOnline.ag,2025-10-13T21:26:37Z,totals,2025-10-13T21:26:37Z,Over,-110,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,betonlineag,BetOnline.ag,2025-10-13T21:26:37Z,totals,2025-10-13T21:26:37Z,Under,-110,46.5,20251013212649565237
NCAAF,americanfootball_ncaaf,f63b3ba5fb0084b3b5d735394f10ce43,2025-10-14T23:00:00Z,Liberty Flames,New Mexico State Aggies,lowvig,LowVig.ag,2025-10-13T21:26:26Z,h2h,2025-10-13T21:26:26Z,Liberty Flames,-400,,20251013212649565237
